03:11:24.717 - Lote de id product-batch_21-05-2025_03-11-18-733, tamanho 50000, inserido em 4438 ms
03:11:29.810 - Lote de id product-batch_21-05-2025_03-11-19-683, tamanho 50000, inserido em 4577 ms
03:11:35.840 - Lote de id product-batch_21-05-2025_03-11-27-046, tamanho 50000, inserido em 5339 ms
03:11:41.618 - Lote de id product-batch_21-05-2025_03-11-35-847, tamanho 50000, inserido em 5184 ms
03:11:48.010 - Lote de id product-batch_21-05-2025_03-11-41-382, tamanho 50000, inserido em 5733 ms
03:12:01.029 - Lote de id product-batch_21-05-2025_03-11-45-160, tamanho 50000, inserido em 12077 ms
03:12:05.282 - Lote de id product-batch_21-05-2025_03-11-45-582, tamanho 50000, inserido em 3815 ms
03:12:09.060 - Lote de id product-batch_21-05-2025_03-11-45-980, tamanho 50000, inserido em 3458 ms
03:12:13.254 - Lote de id product-batch_21-05-2025_03-11-50-059, tamanho 50000, inserido em 3647 ms
03:12:17.119 - Lote de id product-batch_21-05-2025_03-11-53-899, tamanho 50000, inserido em 3466 ms
03:12:21.043 - Lote de id product-batch_21-05-2025_03-11-59-643, tamanho 50000, inserido em 3495 ms
03:23:31.926 - Lote de id product-batch_21-05-2025_03-23-26-761, tamanho 50000, inserido em 3605 ms
03:23:37.163 - Lote de id product-batch_21-05-2025_03-23-27-384, tamanho 50000, inserido em 4451 ms
03:23:41.937 - Lote de id product-batch_21-05-2025_03-23-28-031, tamanho 50000, inserido em 4030 ms
03:23:46.362 - Lote de id product-batch_21-05-2025_03-23-32-485, tamanho 50000, inserido em 3986 ms
03:23:51.630 - Lote de id product-batch_21-05-2025_03-23-35-157, tamanho 50000, inserido em 4463 ms
03:23:56.644 - Lote de id product-batch_21-05-2025_03-23-36-409, tamanho 50000, inserido em 4558 ms
03:24:01.905 - Lote de id product-batch_21-05-2025_03-23-37-179, tamanho 50000, inserido em 4799 ms
03:24:07.428 - Lote de id product-batch_21-05-2025_03-23-39-293, tamanho 50000, inserido em 4812 ms
03:24:11.912 - Lote de id product-batch_21-05-2025_03-23-39-674, tamanho 50000, inserido em 3856 ms
03:24:15.795 - Lote de id product-batch_21-05-2025_03-23-41-335, tamanho 50000, inserido em 3518 ms
03:24:19.442 - Lote de id product-batch_21-05-2025_03-23-42-326, tamanho 50000, inserido em 3116 ms
03:24:23.555 - Lote de id product-batch_21-05-2025_03-23-43-635, tamanho 50000, inserido em 3730 ms
03:24:27.192 - Lote de id product-batch_21-05-2025_03-23-45-229, tamanho 50000, inserido em 3266 ms
03:24:31.045 - Lote de id product-batch_21-05-2025_03-23-46-866, tamanho 50000, inserido em 3413 ms
